dataset,engine,experiment,file,mean_precisions,mean_time,p95_time,p99_time,parallel,rps,total_time,type,upload_time,mean_time_ms,p95_time_ms
dbpedia-openai-1M-1536-angular,qdrant,qdrant-on-disk-default,dbpedia-openai-1M-1536-angular\qdrant\qdrant-on-disk-default-dbpedia-openai-1M-1536-angular-upload.json,,,,,4,,482.406035400003,upload,132.1750164000041,,
gist-960-euclidean,milvus,milvus-on-disk-default,gist-960-euclidean\milvus\milvus-on-disk-default-gist-960-euclidean-search-0-skipUpload.json,0.99071,0.1032205875999716,0.1391639299992675,0.161354136002119,8,51.95947628485912,19.245767499996877,search,,103.22058759997161,139.16392999926748
gist-960-euclidean,milvus,milvus-on-disk-default,gist-960-euclidean\milvus\milvus-on-disk-default-gist-960-euclidean-search-0.json,0.9911,0.0716384534000681,0.099047169995174,0.1177583890008099,8,75.55382826070104,13.235596700003953,search,,71.6384534000681,99.047169995174
gist-960-euclidean,milvus,milvus-on-disk-default,gist-960-euclidean\milvus\milvus-on-disk-default-gist-960-euclidean-upload.json,,,,,4,,3460.5936815000023,upload,107.45464350000113,,
gist-960-euclidean,qdrant,qdrant-on-disk-default,gist-960-euclidean\qdrant\qdrant-on-disk-default-gist-960-euclidean-search-0-skipUpload.json,0.89098,0.013710761000053,0.0186999999976251,0.0226529040004243,8,168.47033250914083,5.935763200002839,search,,13.710761000053,18.6999999976251
gist-960-euclidean,qdrant,qdrant-on-disk-default,gist-960-euclidean\qdrant\qdrant-on-disk-default-gist-960-euclidean-search-0.json,0.89098,0.0149644319999279,0.0205665999968914,0.049241431996852,8,159.10596955586422,6.285119299995131,search,,14.9644319999279,20.5665999968914
gist-960-euclidean,qdrant,qdrant-on-disk-default,gist-960-euclidean\qdrant\qdrant-on-disk-default-gist-960-euclidean-upload.json,,,,,4,,338.26579360000324,upload,121.97881120000238,,
glove-100-angular,milvus,milvus-on-disk-default,glove-100-angular\milvus\milvus-on-disk-default-glove-100-angular-search-0-skipUpload.json,0.831636,0.0164571830700049,0.0223477450004793,0.0289818530015691,8,417.2001665947344,23.96930969999812,search,,16.457183070004902,22.3477450004793
glove-100-angular,milvus,milvus-on-disk-default,glove-100-angular\milvus\milvus-on-disk-default-glove-100-angular-search-0.json,0.838318,0.0221415547399981,0.0292774650006321,0.1752997059993868,8,295.353315857698,33.857754299999215,search,,22.1415547399981,29.277465000632102
glove-100-angular,milvus,milvus-on-disk-default,glove-100-angular\milvus\milvus-on-disk-default-glove-100-angular-upload.json,,,,,4,,914.0565454000024,upload,230.03572650000208,,
