dataset,engine,experiment,file,mean_precisions,mean_time,p95_time,p99_time,parallel,rps,total_time,type,upload_time
gist-960-euclidean,milvus,milvus-on-disk-default,gist-960-euclidean\milvus\milvus-on-disk-default-gist-960-euclidean-search-0.json,0.9911,0.07163845340006811,0.09904716999517403,0.11775838900080998,8,75.55382826070104,13.235596700003953,search,
gist-960-euclidean,milvus,milvus-on-disk-default,gist-960-euclidean\milvus\milvus-on-disk-default-gist-960-euclidean-upload.json,,,,,4,,3460.5936815000023,upload,107.45464350000111
gist-960-euclidean,qdrant,qdrant-on-disk-default,gist-960-euclidean\qdrant\qdrant-on-disk-default-gist-960-euclidean-search-0-skipUpload.json,0.89098,0.013710761000053025,0.018699999997625123,0.022652904000424315,8,168.47033250914083,5.935763200002839,search,
gist-960-euclidean,qdrant,qdrant-on-disk-default,gist-960-euclidean\qdrant\qdrant-on-disk-default-gist-960-euclidean-search-0.json,0.89098,0.01496443199992791,0.020566599996891453,0.04924143199685203,8,159.10596955586422,6.285119299995131,search,
gist-960-euclidean,qdrant,qdrant-on-disk-default,gist-960-euclidean\qdrant\qdrant-on-disk-default-gist-960-euclidean-upload.json,,,,,4,,338.26579360000324,upload,121.97881120000238
glove-100-angular,milvus,milvus-on-disk-default,glove-100-angular\milvus\milvus-on-disk-default-glove-100-angular-search-0-skipUpload.json,0.831636,0.016457183070004974,0.02234774500047933,0.02898185300156913,8,417.2001665947344,23.96930969999812,search,
glove-100-angular,milvus,milvus-on-disk-default,glove-100-angular\milvus\milvus-on-disk-default-glove-100-angular-search-0.json,0.838318,0.022141554739998175,0.029277465000632177,0.1752997059993868,8,295.35331585769796,33.857754299999215,search,
glove-100-angular,milvus,milvus-on-disk-default,glove-100-angular\milvus\milvus-on-disk-default-glove-100-angular-upload.json,,,,,4,,914.0565454000025,upload,230.03572650000206
glove-100-angular,qdrant,qdrant-on-disk-default,glove-100-angular\qdrant\qdrant-on-disk-default-glove-100-angular-search-0-skipUpload.json,0.8557279999999999,0.005516384489980192,0.007395020000512886,0.009437560000042143,8,874.2644954867324,11.438186100000166,search,
glove-100-angular,qdrant,qdrant-on-disk-default,glove-100-angular\qdrant\qdrant-on-disk-default-glove-100-angular-search-0.json,0.8557279999999999,0.005708089239998662,0.007279240001025754,0.01044472999972641,8,867.1134428215111,11.532516400000532,search,
glove-100-angular,qdrant,qdrant-on-disk-default,glove-100-angular\qdrant\qdrant-on-disk-default-glove-100-angular-upload.json,,,,,4,,305.24523559999943,upload,230.19622150000032
random-match-int-100-angular-filters,milvus,milvus-on-disk-default,random-match-int-100-angular-filters\milvus\milvus-on-disk-default-random-match-int-100-angular-filters-search-0-skipUpload.json,0.284904,0.008333011160003661,0.010725459999594022,0.013688200002688977,8,718.5047072081888,13.917793299999175,search,
random-match-int-100-angular-filters,milvus,milvus-on-disk-default,random-match-int-100-angular-filters\milvus\milvus-on-disk-default-random-match-int-100-angular-filters-search-0.json,0.284904,0.008538162159989952,0.010837335000360326,0.014278181001609488,8,703.593450870515,14.212753100000555,search,
random-match-int-100-angular-filters,milvus,milvus-on-disk-default,random-match-int-100-angular-filters\milvus\milvus-on-disk-default-random-match-int-100-angular-filters-upload.json,,,,,4,,959.2776311000016,upload,199.48064599999998
random-match-int-100-angular-filters,qdrant,qdrant-on-disk-default,random-match-int-100-angular-filters\qdrant\qdrant-on-disk-default-random-match-int-100-angular-filters-search-0-skipUpload.json,0.9999959999999999,0.0047341258000014935,0.00624770500271552,0.008101977000224015,8,979.6395919656954,10.207835699999123,search,
random-match-int-100-angular-filters,qdrant,qdrant-on-disk-default,random-match-int-100-angular-filters\qdrant\qdrant-on-disk-default-random-match-int-100-angular-filters-search-0.json,0.9999959999999999,0.004983968610004013,0.006644015000892977,0.009437868003042242,8,946.5777277379334,10.564372799999546,search,
random-match-int-100-angular-filters,qdrant,qdrant-on-disk-default,random-match-int-100-angular-filters\qdrant\qdrant-on-disk-default-random-match-int-100-angular-filters-upload.json,,,,,4,,390.226932900001,upload,200.13863290000154
random-match-int-100-angular-no-filters,milvus,milvus-on-disk-default,random-match-int-100-angular-no-filters\milvus\milvus-on-disk-default-random-match-int-100-angular-no-filters-search-0-skipUpload.json,0.5429200000000001,0.003792910010016931,0.004339744997196248,0.0049172749998979285,8,1235.1591154819607,8.096122900002229,search,
random-match-int-100-angular-no-filters,milvus,milvus-on-disk-default,random-match-int-100-angular-no-filters\milvus\milvus-on-disk-default-random-match-int-100-angular-no-filters-search-0.json,0.55955,0.006771727889980685,0.008547309999994469,0.011086709995943241,8,804.724563664692,12.426612099996419,search,
random-match-int-100-angular-no-filters,milvus,milvus-on-disk-default,random-match-int-100-angular-no-filters\milvus\milvus-on-disk-default-random-match-int-100-angular-no-filters-upload.json,,,,,4,,584.0643851999994,upload,200.44793560000107
random-match-int-100-angular-no-filters,qdrant,qdrant-on-disk-default,random-match-int-100-angular-no-filters\qdrant\qdrant-on-disk-default-random-match-int-100-angular-no-filters-search-0-skipUpload.json,0.63372,0.005066317730013543,0.006270674998995672,0.00781443099916942,8,946.2396587360482,10.568147199999657,search,
random-match-int-100-angular-no-filters,qdrant,qdrant-on-disk-default,random-match-int-100-angular-no-filters\qdrant\qdrant-on-disk-default-random-match-int-100-angular-no-filters-search-0.json,0.6337200000000001,0.005358165960009865,0.006536500000220257,0.0105777959965417,8,906.4797529590137,11.031685999998444,search,
random-match-int-100-angular-no-filters,qdrant,qdrant-on-disk-default,random-match-int-100-angular-no-filters\qdrant\qdrant-on-disk-default-random-match-int-100-angular-no-filters-upload.json,,,,,4,,273.9460715000023,upload,193.89657880000232
